,Contributors,Contributor_type,Date,Set,Genre,Description,Type_of_resource,Source_collection,Language,Medium,Original_format,Part_of,Repository,Subjects,Subject_headings,Title
184,"Johnston, Frances Benjamin",Photographer,1899,Teachers-And-Students,,,Still image,"Johnston, Frances Benjamin,1864-1952. Washington, D.C., school survey",English,1 photographic print : cyanotype.,"Photo, print, drawing",prints and photographs division | lot 2749 | johnston (frances benjamin) collection | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",washington (d.c.) | sports | women | basketball | cyanotypes | students | physical fitness,Physical fitness--Washington (D.C.)--1890-1900 | Students--Washington (D.C.)--1890-1900 | Women--Sports--Washington (D.C.)--1890-1900 | Basketball--Washington (D.C.)--1890-1900,"[Female students playing basketball, Western High School, Washington, D.C.]"
186,Unknown,,1909,Teachers-And-Students,Group portraits--1900-1910 | Photographic prints--1900-1910,"Photograph shows group portrait of Nannie Helen Burroughs (center) and four women, seated on steps of a porch.",Still image,,English,1 photograph : gelatin silver print mounted on board ; sheet 20.5 x 26 cm. on board 30.5 x 35.5 cm.,"Photo, print, drawing",prints and photographs division | catalog | lot 12571,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | women | group portraits | education | african americans | photographic prints | national training school for women and girls (washington, d.c.) | burroughs, nannie helen","National Training School for Women and Girls (Washington, D.C.)--1900-1910 | African Americans--Education--Washington (D.C.)--1900-1910 | Burroughs, Nannie Helen,--1879-1961 | Women--Education--Washington (D.C.)--1900-1910","[Nannie Helen Burroughs and others, group portrait at the National Training School, Washington, D.C.]"
195,"Bubley, Esther",Photographer,1943,Teachers-And-Students,Safety film negatives,,Still image,Farm Security Administration - Office of War Information photograph collection (Library of Congress),English,1 negative : safety ; 3 1/4 x 4 1/4 inches or smaller.,"Photo, print, drawing",prints and photographs division | lot 941 | american memory | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | safety film negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),"Washington, D.C. Mrs. Mary Spangler, a Woodrow Wilson High School teacher, at a class in organic chemistry which she attends in the evening at the U.S. Department of Agriculture"
205,"Clinedinst, Barnett McFee",Photographer,1902,Kitchens-And-Baths,Photographic prints--1900-1910,African American man seated at desk to side of large kitchen table with pots hanging over it.,Still image,,English,1 photographic print.,"Photo, print, drawing",prints and photographs division | prints & photographs online catalog (library of congress) | miscellaneous items in high demand | catalog | lot 3239,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | pots & pans | buildings | employment | white house (washington, d.c.) | african americans | photographic prints | kitchens",,"Kitchen, New White House"
211,Harris & Ewing,Photographer,1920,Kitchens-And-Baths,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 8 x 10 in. or smaller,"Photo, print, drawing",prints and photographs division | prints & photographs online catalog (library of congress) | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,,"N STREET, 1734. KITCHEN"
266,"Highsmith, Carol M",Photographer,2007,Books-Maps-More,,,Still image,,English,"1 photograph : digital, TIFF file, color.","Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | library of congress thomas jefferson building (washington, d.c.) | architectural sculpture | color | spandrels | digital photographs","Architectural sculpture--Washington (D.C.)--2000-2010 | Spandrels--Washington (D.C.)--2000-2010 | Library of Congress Thomas Jefferson Building (Washington, D.C.)--2000-2010","[Great Hall. Spandrels displaying Olin L. Warner's The Students in the Commemorative Arch. Library of Congress Thomas Jefferson Building, Washington, D.C.]"
273,"Highsmith, Carol M",Photographer,2007,Books-Maps-More,,"Photo shows ""A Student, with a book in his hand and a mortar board on his head.  A Printer, with types, a press, and a type case."" (Source: MyLOC.gov Great Hall exhibit, 2008)",Still image,,English,"1 photograph : digital, TIFF file, color.","Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | library of congress thomas jefferson building (washington, d.c.) | architectural sculpture | color | digital photographs","Architectural sculpture--Washington (D.C.)--2000-2010 | Library of Congress Thomas Jefferson Building (Washington, D.C.)--2000-2010","[Great Hall. Detail of putti (student and printer) on the Grand staircase, Philip Martiny. Library of Congress Thomas Jefferson Building, Washington, D.C.]"
276,"Highsmith, Carol M",Photographer,2007,Books-Maps-More,,,Still image,,English,"1 photograph : digital, TIFF file, color.","Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | library of congress thomas jefferson building (washington, d.c.) | murals | color | digital photographs","Murals--Washington (D.C.)--2000-2010 | Library of Congress Thomas Jefferson Building (Washington, D.C.)--2000-2010","[East Corridor, Great Hall. Printing Press mural in Evolution of the Book series, John W. Alexander. Library of Congress Thomas Jefferson Building, Washington, D.C.]"
326,"Frissell, Toni",Photographer,1957,Fish-And-Fishing,Nitrate film negatives--1950-1960,,Still image,Toni Frissell photograph collection,English,1 negative : nitrate film ; 120 mm.,"Photo, print, drawing",prints and photographs division | prints & photographs online catalog (library of congress) | miscellaneous items in high demand | american women: a gateway to library of congress resources for the study of women's history and culture in the united states | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | women | tidal basin (washington, d.c.) | nitrate film negatives | fishing | african americans",,"[African American woman, seated on ground, fishing, at the Tidal Basin, Washington, D.C.]"
461,Harris & Ewing,Photographer,1939,Older-People,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"Life begins at 70. Washington, D.C., Feb. 3. Retired from the Bureau of Indian Affairs, U.S. Department of Interior, after 33 years of service, Mrs. Isabelle Haggett at 75 is now a co-ed at George Washington University, proving the old adage 'one is never to old to learn' still holds good. She retired from the government service in 1933 at the age of 70. Her worried expression in this photograph can be attributed to the fact she is now boning for the mid-year exams in English Romantic Poetry, 2-3-39"
462,Harris & Ewing,Photographer,1939,Older-People,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"Collecting old bottles is hobby of retired professor. Washington, D.C., Nov. 27. Bottles here, bottles there, and bottles everywhere amply describes the home here of W. Edwin Priest, retired Professor of History in the Washington high schools. Now 78 years old, Professor Priest has been collecting bottles of every imaginary kind, shape, and variety for 40 years. He now has over 1,000 bottles in his prized collection. Prof. Priest is shown holding the latest addition--the most valuable one--the little bottle which was found in Chaldea, home of the early christians, and said to be over 4,000 years old"
540,Harris & Ewing,Photographer,1937,Diners-Drive-Ins-Restaurants,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"Elder Michaux, [Happy News Cafe, 1727 7th St.]"
652,"Highsmith, Carol M",Photographer,1980,Aircraft,Transparencies--Color--1980-2010,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,1 transparency : color ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",spirit of st. louis | washington (d.c.) | transparencies | america | united states | air and space museum | district of columbia | color | smithsonian | charles lindbergh,Air and Space Museum | United States--District of Columbia--Washington (D.C.) | Charles Lindbergh | America | Spirit of St. Louis | Smithsonian,"Charles Lindbergh's ""Spirit of St Louis"" airplane, hanging at the Smithsonian Institution's Air and Space Museum on the National Mall, Washington, D.C."
655,"Horydczak, Theodor",Photographer,1930,Aircraft,Nitrate negatives,,Still image,Horydczak photograph collection (Library of Congress),English,1 negative : nitrate ; 8 x 10 in.,"Photo, print, drawing",prints and photographs division | catalog | horydczak collection | american memory,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",nitrate negatives | washington (d.c.) | airships | united states | monuments & memorials | district of columbia,Airships | Monuments & memorials | United States--District of Columbia--Washington (D.C.),Lincoln Memorial. Army blimp at Lincoln Memorial
659,Harris & Ewing,Photographer,1938,Aircraft,Glass negatives,"Photo shows the blimp tethered to the ground while passengers enter the gondola. Words on the blimp say ""Lifeguard tires"" and ""Enterprise.""",Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"Goodyear blimp at Wash. Air Port, 4/13/38"
664,"Jenkins, R. Michael",Photographer,1990-04-25,Aircraft,Film negatives--1990,,Still image,CQ portion of CQ Roll Call Photograph Collection (Library of Congress),English,1 photograph : negative ; film width 35mm (roll format),"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","v-22 osprey (transport plane) | washington (d.c.) | united states capitol (washington, d.c.) | transport planes | film negatives","United States Capitol (Washington, D.C.)--1990 | Transport planes--Washington (D.C.)--1990 | V-22 Osprey (Transport plane)--1990",[V-22 Osprey prototype aircraft in front of the U.S. Capitol]
675,Unknown,,1929,Families,Glass negatives,"Photo shows four Japanese persons posed under cherry blossoms at Tidal Basin, Washington, D.C.: Katsuji Debuchi, pointing; wife wearing fur, and daughter, Takako Debuchi in traditional Japanese clothing.",Still image,National Photo Company Collection (Library of Congress),English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",national photo company collection | prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"Katsuji Debuchi & Takako Debuchi, [3/29/29]"
778,Harris & Ewing,Photographer,1918,Disability-Awareness,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 5 x 7 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),WALTER REED HOSPITAL
783,Unknown,,1923,Disability-Awareness,Group portraits--1920-1930 | Glass negatives--1920-1930,,Still image,National Photo Company Collection (Library of Congress),English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",national photo company collection | prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",deaf persons | washington (d.c.) | group portraits | gallaudet college | baseball players | glass negatives,Baseball players--Washington (D.C.)--1920-1930 | Gallaudet College (1894-1954) | Deaf persons--Washington (D.C.)--1920-1930,"Gallaudet, 1923"
784,"Highsmith, Carol M",Photographer,2010,Disability-Awareness,,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,"1 photograph : digital, TIFF file, color.","Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | america | united states | gallaudet university | district of columbia | color | digital photographs,United States--District of Columbia--Washington (D.C.) | Gallaudet University | America,"College Hall, Gallaudet University, between 6th and 9th St., NE, Washington, D.C."
794,"Jenkins, R. Michael",Photographer,1989-07-17,Disability-Awareness,Film negatives--1980-1990,,Still image,CQ portion of CQ Roll Call Photograph Collection (Library of Congress),English,1 photograph : negative ; film width 35mm (roll format),"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","film negatives | jackson, jesse | people with disabilities | washington (d.c.) | legislative hearings | dart, justin | committee on education and labor | united states | wheelchairs | house | congress | meetings | activists","People with disabilities--Meetings--Washington (D.C.)--1980-1990 | Jackson, Jesse,--1941 | Dart, Justin,--1930-2002 | Activists--Washington (D.C.)--1980-1990 | Wheelchairs--Washington (D.C.)--1980-1990 | Legislative hearings--Washington (D.C.)--1980-1990 | United States.--Congress.--House.--Committee on Education and Labor","[Jesse Jackson shaking hands with disability advocate Justin Dart Jr., who is in a wheelchair, during a hearing of the House Committee on Education and Labor on a bill which became the Americans with Disabilities Act]"
798,"Walter, Thomas Ustick | Bien, Julius",,1860,Disability-Awareness,Lithographs--1860-1870 | Documents--1860-1870,"Print shows a street-level view of Saint Elizabeths Hospital in Washington, D.C., formerly known as the Government Hospital for the Insane, showing the central building and the east and west wings, with pedestrians, carriages, and horseback riders on the plaza in the foreground.",Still image,Popular graphic art print filing series (Library of Congress),English,1 print : lithograph ; sheet 17.5 x 47.2 cm.,"Photo, print, drawing",prints and photographs division | catalog | popular graphic arts,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | documents | pierce, franklin | (charles henry) | mental institutions | pedestrians | nichols, charles h. | lithographs | saint elizabeths hospital (washington, d.c.)","Saint Elizabeths Hospital (Washington, D.C.)--1860-1870 | Pedestrians--Washington (D.C.)--1860-1870 | Mental institutions--Washington (D.C.)--1860-1870 | Pierce, Franklin,--1804-1869 | Nichols, Charles H.--(Charles Henry),--1820-1889","Hospital for the insane of the Army and Navy and the District of Columbia / [lith. of] J. Bien, 180 Broadway, N.Y."
813,"Parks, Gordon",Photographer,1942,Advertising-Food,Safety film negatives,,Still image,Farm Security Administration - Office of War Information Photograph Collection (Library of Congress),English,1 negative : safety ; 4 x 5 inches or smaller.,"Photo, print, drawing",prints and photographs division | lot 156 | american memory | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | safety film negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),"Washington, D.C. Mr. J. Benjamin's daughter waiting on a customer in her father's store"
814,"Parks, Gordon",Photographer,1942,Advertising-Food,Film transparencies,,Still image,Farm Security Administration - Office of War Information Photograph Collection (Library of Congress),English,1 transparency : safety ; 4 x 5 inches or smaller.,"Photo, print, drawing",prints and photographs division | lot 156 | american memory | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",safety film negatives | washington (d.c.) | film transparencies | united states | district of columbia,United States--District of Columbia--Washington (D.C.),"Washington, D.C. Grocery store owned by Mr. J. Benjamin, on Saturday afternoon"
821,"Palmer, Alfred T.",Photographer,1943,Advertising-Food,Nitrate negatives,,Still image,Farm Security Administration - Office of War Information Photograph Collection (Library of Congress),English,1 negative : nitrate ; 4 x 5 inches or smaller.,"Photo, print, drawing",prints and photographs division | lot 1926 | american memory | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | nitrate negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),Canned meat and canned fish. All of these are rationed
847,Library of Congress Photoduplication Service,Photographer,2000,Birds,Film negatives--Color--2000,"Photograph shows the cast of the television program Sesame Street including Big Bird with children, Librarian of Congress James H. Billington, publisher Katherine Graham, cartoonist Al Hirschfeld (in wheelchair) and others at the Library of Congress Bicentennial celebration on the U.S. Capitol Grounds, Washington, D.C.",Still image,,English,1 photograph : color negative ; film width 35mm (roll format),"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","events | billington, james h. | washington (d.c.) | library of congress | billington, james h | libraries | sesame street (television program) | birthdays | cakes | color | big bird (fictitious character) | film negatives","Library of Congress--Events | Libraries--Washington (D.C.)--2000 | Big Bird (Fictitious character)--Washington (D.C.)--2000 | Cakes--Washington (D.C.)--2000 | Billington, James H | Birthdays--Washington (D.C.)--2000 | Sesame Street (Television program)",[Bicentennial with Sesame Street cast and cake]
879,Harris & Ewing,Photographer,1923,Birds,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"[Group of boys with bird houses; White House in background. Washington, D.C.]"
892,"L'Enfant, Pierre Charles",Artist,1791,American-Revolution,Early maps | Manuscript maps,,Cartographic,,English,"1 map : ms., col. ; 70 x 81 cm., on sheet 73 x 104 cm.",Map,catalog | cities and towns | american memory | geography and map division,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",washington (d.c.) | washington | early works to 1800 | maps | early maps | united states | manuscript maps | district of columbia,United States--District of Columbia--Washington | Washington (D.C.)--Maps--Early works to 1800,"Plan of the city intended for the permanent seat of the government of t[he] United States : projected agreeable to the direction of the President of the United States, in pursuance of an act of Congress, passed on the sixteenth day of July, MDCCXC, ""establishing the permanent seat on the bank of the Potowmac"" : [Washington D.C.]"
905,"L'Enfant, Pierre Charles",Artist,1794,American-Revolution,,,Cartographic,,English,"1 map ; 21 x 26 cm., on sheet 35 x 43 cm.",Map,catalog | cities and towns | american memory | geography and map division,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",washington (d.c.) | washington | early works to 1800 | maps | united states | district of columbia,United States--District of Columbia--Washington | Washington (D.C.)--Maps--Early works to 1800,Plan of the city of Washington
906,Unknown,,1790,American-Revolution,,,Cartographic,,English,"1 map : ms., tracing paper ; 49 x 48 cm.",Map,cities and towns | geography and map division | cultural landscapes | american memory | catalog | county landownership maps,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu","washington (d.c.) | washington | maps | united states | real property | maps, manuscript | manuscript maps | district of columbia | library of congress","United States--District of Columbia--Washington | Library of Congress--Maps, Manuscript | Manuscript maps | Real property--Washington (D.C.)--Maps","[Site of the Library of Congress, Washington, D.C., in relation to pre-1790 landholdings]."
913,Unknown,,Documentation compiled after 1933,Historic-Sites,,,Unspecified,Historic American Buildings Survey (Library of Congress),English,Photo(s): 12  | Photo Caption Page(s): 3  | Color Transparencies: 1  | Measured Drawing(s): 8  | Data Page(s): 10,"Photo, print, drawing",prints and photographs division | american memory | historic american buildings survey/historic american engineering record/historic american landscapes survey,"Library of Congress Prints and Photographs Division Washington,      D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",memorials | houses | abolition movement | historical societies | concession | african americans | brick buildings,memorials | houses | abolition movement | District Of Columbia -- District Of Columbia -- Washington | historical societies | concession | brick buildings | African Americans,"Frederick Douglass House, 1411 W Street, Southeast, Washington, District of Columbia, DC"
914,Unknown,,Documentation compiled after 1933,Historic-Sites,,,Unspecified,Historic American Buildings Survey (Library of Congress),English,Photo Caption Page(s): 14  | Photo(s): 233  | Color Transparencies: 1  | Measured Drawing(s): 28  | Data Page(s): 6,"Photo, print, drawing",prints and photographs division | american memory | historic american buildings survey/historic american engineering record/historic american landscapes survey,"Library of Congress Prints and Photographs Division Washington,      D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",sculpture | greek revival architectural elements | maps | doric order | white marble | monuments & memorials | u.s. presidents | colonnades | friezes (entablature components),Doric order | sculpture | U.S. Presidents | maps | District Of Columbia -- District Of Columbia -- Washington | white marble | monuments & memorials | colonnades | friezes (entablature components) | Greek Revival architectural elements,"Lincoln Memorial, West Potomac Park, Washington, District of Columbia, DC"
923,Unknown,,Documentation compiled after 1933,Historic-Sites,,,Unspecified,Historic American Buildings Survey (Library of Congress),English,Photo Caption Page(s): 11  | Photo(s): 173  | Measured Drawing(s): 38  | Data Page(s): 46,"Photo, print, drawing",prints and photographs division | american memory | historic american buildings survey/historic american engineering record/historic american landscapes survey,"Library of Congress Prints and Photographs Division Washington,      D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",obelisks | monuments & memorials | u.s. presidents,District Of Columbia -- District Of Columbia -- Washington | monuments & memorials | obelisks | U.S. Presidents,"Washington Monument, High ground West of Fifteenth Street, Northwest, between Independence & Constitution Avenues, Washington, District of Columbia, DC"
