Call_number,Contributors,Date_text,Date,Digitized,Set,Genre,Id,IIIF_manifest,Preview_url,Index,Type_of_resource,MODS Record,MARC Record,Dublin Core Record,MARCXML Record,Rights,Source_collection,Language,Lccn,Medium,Mime_type,Notes,Online_format,Original_format,Part_of,Repository,Number_of_files,Shelf_id,Subjects,Last_updated_in_api,Title,Url,Creators_names,Creators_roles,Location_text,Subject_headings,Location_Short_name,Location_Full_name,Location_Osm_url,Location_Latitude,Location_Longitude,Location_County,Location_State_district,Location_State,Location_Country,Description,Other_title,METSXML Record
AFC 1991/021: NV9-HM36-20,"Marshall, Howard W. (Photographer) | Bonnet, Reinhold ""Tex"" (Depicted) | Bonnet, Zane (Depicted)",,1979-10,True,Kitchens-And-Baths,Ethnography | Photographs,http://www.loc.gov/item/ncr001959/,http://www.loc.gov/item/ncr001959/manifest.json,https://tile.loc.gov/image-services/iiif/service:afc:afc1991021:afc1991021_47383/full/pct:25/0/default.jpg#h=685&w=1001 | https://tile.loc.gov/image-services/iiif/service:afc:afc1991021:afc1991021_47383/full/pct:12.5/0/default.jpg#h=342&w=500 | https://tile.loc.gov/image-services/iiif/service:afc:afc1991021:afc1991021_47383/full/pct:12.5/0/default.jpg | https://tile.loc.gov/image-services/iiif/service:afc:afc1991021:afc1991021_47383/full/pct:50/0/default.jpg#h=1370&w=2003 | https://tile.loc.gov/image-services/iiif/service:afc:afc1991021:afc1991021_47383/full/pct:100/0/default.jpg#h=2740&w=4006,1,Still image,,,,,"No known restrictions on use or reproduction. | <p>The Library of Congress is not aware of any U.S. copyright protection (see Title 17, U.S.C.) or any other restrictions in the material in this collection, except as noted below. Users should keep in mind that the Library of Congress is providing access to these materials strictly for educational and research purposes. The written permission of the copyright owners and/or other holders of rights (such as publicity and/or privacy rights) is required for distribution, reproduction, or other use of protected items beyond that allowed by fair use or other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. See our <a href=""/legal/"">Legal Notices</a> and <a href=""/legal/#privacy_publicity"">Privacy and Publicity Rights</a> for additional information and restrictions. </p> <p>The American Folklife Center and the professional fieldworkers who carry out these projects feel a strong ethical responsibility to the people they have visited and who have consented to have their lives documented for the historical record. The Center asks that researchers approach the materials in this collection with respect for the culture and sensibilities of the people whose lives, ideas, and creativity are documented here. Researchers are also reminded that <a href=""/legal/#privacy_publicity"">privacy and publicity</a> rights may pertain to certain uses of this material.</p> <p>The Buckaroos in Paradise collection includes copy photographs of numerous historical still photographs, works of art, and other objects that are owned by the families or individuals identified in bibliographic records for those objects. The collection also includes audio and video interviews with individuals who consented to the inclusion of these selections here. </p> <p>Researchers or others who would like to make further use of these collection materials should contact the <a href=""//www.loc.gov/folklife/address.html"">Folklife Reading Room</a> for assistance. </p> <h2>Credit line</h2> <p>Paradise Valley Folklife Project collection, 1978-1982 (AFC 1991/021), American Folklife Center, Library of Congress</p> ",Paradise Valley Folklife Project Collection (AFC 1991/021),English,,35mm slide,image/tiff | image/jp2 | image/jpeg,"People in photograph: Bonnet, Zane; Bonnet, Reinhold ""Tex""",Image,"Photo, print, drawing","american folklife center | paradise valley folklife project collection | american memory | buckaroos in paradise: ranching culture in northern nevada, 1945-1982",American Folklife Center,1.0,AFC 1991/021: NV9-HM36-20,ethnography | houses | buildings | bonnet household | photographs | kitchens,2020-06-10T21:29:43.079Z,"Zane and Reinhold ""Tex"" Bonnet in their Kitchen",https://www.loc.gov/item/ncr001959/,,,,Kitchens | Ethnography | Buildings | Houses | Photographs | Bonnet Household,,,,,,,,,,,,
Mavis identifier: 9167,"Stordahl, Alex | RKO Radio Pictures | Maltz, Albert | Sinatra, Frank",,1945,True,Public-Domain-Films-From-The-National-Film-Registry,Fiction films,http://www.loc.gov/item/mbrs00009167/,http://www.loc.gov/item/mbrs00009167/manifest.json,https://tile.loc.gov/storage-services/service/mbrs/ntscrm/00009167/00009167.gif,1,Moving image,,,,,"<p>The Library of Congress is not aware of any U.S. copyright or other restrictions in the vast majority of motion pictures in these collections. Absent any such restrictions, these materials are free to use and reuse.</p>  <p>In rare cases, copyrighted motion pictures are made available by special permission to the Library and may be used only for educational purposes. For example, the Gershwin home movies fall within this category. Rights assessment is your responsibility. No registration information exists for some titles, and reproduction of some titles may be restricted by privacy rights, publicity rights, licensing and trademarks. Additionally, some works may still be protected by copyright in the United States or some foreign countries. The written permission of the copyright owners in materials not in the public domain is required for distribution, reproduction, or other use of protected items beyond that allowed by fair use or other statutory exemptions.</p>  <p>Whenever possible, we provide information that we have about copyright owners and related matters in the catalog records, finding aids and other texts that accompany collections. You should consult the catalog information that accompanies each item for specific information. This catalog data provides the details known to the Library of Congress regarding the corresponding item and may assist you in making independent assessments of the legal status of these items for their desired uses. You should also consult restrictions associated with donations to the Library.</p>  <p>Credit Line: Library of Congress, Motion Picture, Broadcasting, and Recorded Sound Division.</p>  <p>More about <a href=""/legal/"">Copyright and other Restrictions</a>.</p>  <p>For guidance about compiling full citations consult <a href=""//www.loc.gov/teachers/usingprimarysources/citing.html"">Citing Primary Sources</a>.</p> | http://hdl.loc.gov/loc.mbrsmi/nfr.rights-access",Copyright Collection,English,,"Film, Video",video/mp4 | application/x-video | image/gif | video/quicktime | image/jpeg,"Summary: Frank Sinatra, apparently playing himself, takes a ""smoke"" break from a recording session. He sees more than 10 boys chasing a Jewish boy and intervenes, first with dialogue; then with a little speech. His main points are that we are ""all"" Americans and that just one American's blood is as good as another, all our religions are equally to be respected. (The film was made to oppose anti-Semitism and racial prejudice at the end of World War II.) Sinatra sings two songs : ""If you are but a dream"" (words and music by Moe Jaffe, Jack Fulton, Nat Bonx; melody based on Anton Rubinstein's ""Romance in E flat, Op. 44, No. 1,"" popularly known as ""Rubenstein's Romance"") and ""The house I live in"" (music by Earl Robinson, lyrics by Lewis Allan). ""Frank Sinatra in brotherhood musical short from 1945 written by Albert Maltz, later blacklisted as leftist RKO Academy Award winner""--Summary from J. Fred MacDonald and Associates film inventory.",Video | Image,"Film, video","motion picture, broadcasting & recorded sound division | copyright collection | national screening room | selections from the national film registry","Motion Picture, Broadcasting And Recorded Sound Division",1.0,Mavis identifier: 9167,fiction films,2023-01-23T15:07:35.647Z,The House I Live In,https://www.loc.gov/item/mbrs00009167/,,,,Fiction films,,,,,,,,,,,,
LC-USF34- 028224-D [P&P] LOT 1174 (corresponding photographic print),"Rothstein, Arthur, 1915-1985, photographer.",1939 Sept.,1939,True,Farm-Life,Safety film negatives,http://www.loc.gov/item/2017778455/,http://www.loc.gov/item/2017778455/manifest.json,https://tile.loc.gov/storage-services/service/pnp/fsa/8b18000/8b18400/8b18448t.gif#h=116&w=150 | https://tile.loc.gov/storage-services/service/pnp/fsa/8b18000/8b18400/8b18448_150px.jpg#h=116&w=150 | https://tile.loc.gov/storage-services/service/pnp/fsa/8b18000/8b18400/8b18448v.jpg#h=792&w=1024 | https://tile.loc.gov/storage-services/service/pnp/fsa/8b18000/8b18400/8b18448r.jpg#h=495&w=640,1,Still image,https://lccn.loc.gov/2017778455/mods,//www.loc.gov/pictures/item/2017778455/marc/,https://lccn.loc.gov/2017778455/dc,https://lccn.loc.gov/2017778455/marcxml,"<p>The contents of the Library of Congress Farm Security Administration/Office of War Information Black-and-White Negatives are in the public domain and are free to use and reuse.</p>  <p> Credit Line: Library of Congress, Prints &amp; Photographs Division, Farm Security Administration/Office of War Information Black-and-White Negatives.</p>  <p>For information about reproducing, publishing, and citing material from this collection, as well as access to the original items, see: <a href=""https://www.loc.gov/rr/print/res/071_fsab.html"">U.S. Farm Security Administration/Office of War Information Black &amp; White Photographs - Rights and Restrictions Information</a>  </p>  <p>More about <a href=""/legal/"">Copyright and other Restrictions</a> </p>  <p>For guidance about compiling full citations consult <a href=""https://www.loc.gov/teachers/usingprimarysources/citing.html"">Citing Primary Sources</a>.</p> | No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html",Farm Security Administration - Office of War Information Photograph Collection (Library of Congress),English,2017778455,1 negative : safety ; 3 1/4 x 4 1/4 inches or smaller.,image/jpg | image/gif | image/tif,"More information about the FSA/OWI Collection is available at http://hdl.loc.gov/loc.pnp/pp.fsaowi | Title and other information from caption card. | Temp. note: usf34batch3 | Transfer; United States. Office of War Information. Overseas Picture Division. Washington Division; 1944. | Film copy on SIS roll 21, frame 563.",Image,"Photo, print, drawing",prints and photographs division | american memory | farm security administration/office of war information black-and-white negatives | lot 1174 | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",1.0,LC-USF34- 028224-D [P&P] LOT 1174 (corresponding photographic print),safety film negatives | iowa | marshall county | united states | marshalltown,2021-09-04T15:09:36.329Z,"Farm people at livestock auction. Central Iowa Fair, Marshalltown, Iowa",https://www.loc.gov/item/2017778455/,"Rothstein, Arthur, 1915-1985",photographer,Marshalltown | Iowa--Marshall County--Marshalltown | Iowa | Marshall County | United States,United States--Iowa--Marshall County--Marshalltown,Marshalltown | Iowa | Marshall County | United States,"Marshalltown, Marshall County, Iowa, 50158, United States | Iowa, United States | Marshall County, Illinois, United States | United States",https://www.openstreetmap.org/relation/129274 | https://www.openstreetmap.org/relation/161650 | https://www.openstreetmap.org/relation/1800723 | https://www.openstreetmap.org/relation/148838,42.048881 | 41.9216734 | 41.0324537 | 39.7837304,-92.9122672 | -93.3122705 | -89.2998456 | -100.445882,Marshall County | Unknown | Marshall County | Unknown,Unknown | Unknown | Unknown | Unknown,Iowa | Iowa | Illinois | Unknown,United States | United States | United States | United States,,,
"HABS ALA,37-BIRM,33-",Unknown,Documentation compiled after 1933,Documentation compiled after 1933,True,Historic-Sites,,http://www.loc.gov/item/al0966/,http://www.loc.gov/item/al0966/manifest.json,https://tile.loc.gov/storage-services/service/pnp/habshaer/al/al0900/al0966/photos/321033p_150px.jpg#h=107&w=150 | https://tile.loc.gov/storage-services/service/pnp/habshaer/al/al0900/al0966/photos/321033pv.jpg#h=733&w=1024 | https://tile.loc.gov/storage-services/service/pnp/habshaer/al/al0900/al0966/photos/321033pr.jpg#h=458&w=640,12,Unspecified,,,,,"<p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p> <p>Ultimately, it is the researcher's obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library's collections. </p> <p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/114_habs.html"">Historic American Buildings Survey/Historic American Engineering Record/Historic American Landscape Survey (HABS/HAER/HALS) Collection - Rights and Restrictions Information</a> </p>    | No known restrictions on images made by the U.S. Government; images     copied from other sources may be restricted.    https://www.loc.gov/rr/print/res/114_habs.html",Historic American Buildings Survey (Library of Congress),English,,Photo Caption Page(s): 3  | Measured Drawing(s): 16  | Photo(s): 18  | Data Page(s): 36  | Color Transparencies: 3 ,image/gif | application/pdf,"Significance: The Sixteenth Street Baptist Church has served most of this century as the religious and cultural center of Birmingham's African-American community, and now also, as a landmark to Birmingham's Civil Rights District. Built in 1909-11, it was designed by Wallace A. Rayfield, a graduate of Howard University and Pratt Institute, and the first African-American to establish an architectural practice in Birmingham. The church was erected in an eclectic style reminiscent of Byzantine and Romanesque forms by successful African-American contractor Thomas C. Windham.  Located downtown near the former center of the African-American business district, Sixteenth Street Church has been known throughout its history as ""everybody's church."" Many distinguished Americans such as Langston Hughes, Paul Robeson, Jackie Robinson, Marian Anderson, Mary McLeod Bethune, and W.E.B. DuBois were heard there. The church began to receive national attention in 1963 when it became the principle site for organizing civil rights demonstrations led by the Reverends Fred Shuttlesworth and Martin Luther King, Jr. The Bombing of Sixteenth Street Baptist Church that killed four young girls attending Sunday School resulted in the national and international condemnation of segregation.  | Unprocessed Field note material exists for this structure: N270  | Building/structure dates: 1909-1911 Initial Construction  | Building/structure dates: after 1923 Subsequent Work  | Building/structure dates: after 1963 Subsequent Work  | National Register of Historic Places NRIS Number: 80000696  | Survey number: HABS AL-898  | Building/structure dates: 1991-1992 Subsequent Work ",Pdf | Image,"Photo, print, drawing",prints and photographs division | american memory | historic american buildings survey/historic american engineering record/historic american landscapes survey,"Library of Congress Prints and Photographs Division Washington,      D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",36.0,"HABS ALA,37-BIRM,33-",religions | baptist churches | civil rights | religious facilities | african americans,2018-12-14T22:10:22.512Z,"Sixteenth Street Baptist Church, 1530 Sixth Avenue North, Birmingham, Jefferson County, AL",https://www.loc.gov/item/al0966/,"Ferguson, James N | King, Martin Luther, Jr | Lowe, Jet | Knyviene, Daina | L. L. Samms and Sons Company | Windham Brothers Construction Company | Rayfield, Wallace A | Windham, Thomas C | Historic American Buildings Survey | Shuttlesworth, Fred | Clark, Sharon C | Hervey, Douglas J | Krahe, Matthew J. M.",field team | Unknown | photographer | field team | Unknown | Unknown | Unknown | Unknown | creator | Unknown | historian | field team | field team,Jefferson County | Alabama | Alabama -- Jefferson County -- Birmingham | Birmingham,religions | Baptist churches | civil rights | Alabama -- Jefferson County -- Birmingham | religious facilities | African Americans,Jefferson County | Birmingham | Birmingham | Alabama,"Jefferson County, Texas, United States | Birmingham, West Midlands Combined Authority, England, United Kingdom | Birmingham, Jefferson County, Alabama, United States | Alabama, United States",https://www.openstreetmap.org/relation/1841074 | https://www.openstreetmap.org/relation/162378 | https://www.openstreetmap.org/relation/111031 | https://www.openstreetmap.org/relation/161950,29.834772 | 52.4796992 | 33.5206824 | 33.2588817,-94.1704496 | -1.9026911 | -86.8024326 | -86.8295337,Jefferson County | Unknown | Jefferson County | Unknown,Unknown | West Midlands Combined Authority | Unknown | Unknown,Texas | England | Alabama | Alabama,United States | United Kingdom | United States | United States,,Birmingham Civil Rights National Monument Birmingham Industrial District,
Illus. in AP101.P7 1913 (Case X) [P&P],"Hill, W. E. (William Ely), 1887-1962, artist.",1913 December 3.,1913-12-03,True,Holidays,,http://www.loc.gov/item/2011649649/,http://www.loc.gov/item/2011649649/manifest.json,https://tile.loc.gov/storage-services/service/pnp/ppmsca/28000/28003v.jpg#h=1024&w=733 | https://tile.loc.gov/storage-services/service/pnp/ppmsca/28000/28003r.jpg#h=640&w=458 | https://tile.loc.gov/storage-services/service/pnp/ppmsca/28000/28003_150px.jpg#h=150&w=107 | https://tile.loc.gov/storage-services/service/pnp/ppmsca/28000/28003_150px.jpg | https://tile.loc.gov/storage-services/service/pnp/ppmsca/28000/28003t.gif#h=150&w=107,1,Still image,https://lccn.loc.gov/2011649649/mods,https://www.loc.gov/pictures/item/2011649649/marc/,https://lccn.loc.gov/2011649649/dc,https://lccn.loc.gov/2011649649/marcxml,No known restrictions on publication.,,English,2011649649,"1 photomechanical print : offset, color.",image/jpg | image/gif | image/jpeg | image/tif,"Title from item. | Copyright 1913 by Keppler & Schwarzmann. | Illus. in: Puck, v. 74, no. 1918 (1913 December 3), cover.",Image,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",1.0,Illus. in AP101.P7 1913 (Case X) [P&P],magazine covers | women | mistletoe | periodical illustrations | christmas | cartoons (commentary) | offset photomechanical prints | clothing & dress | beauty | color | anxiety | snowmen | kissing,2021-08-28T13:28:52.001Z,Christmas Puck / W.E. Hill '13.,https://www.loc.gov/item/2011649649/,"Hill, W. E. (William Ely), 1887-1962",artist,,Christmas--1910-1920 | Snowmen--1910-1920 | Women--Clothing & dress--1910-1920 | Mistletoe--1910-1920 | Kissing--1910-1920 | Anxiety--1910-1920 | Beauty--1910-1920,,,,,,,,,,Illustration shows an anxious snowman standing between two beautiful young women wearing clown costumes and holding mistletoe over their heads during an evening snow shower.,,
Illus. in AP2.H32 1889 (Case Y) [P&P],"Thulstrup, Thure de, 1848-1930, artist.",1889.,1889,True,Football,,http://www.loc.gov/item/2013645876/,http://www.loc.gov/item/2013645876/manifest.json,https://tile.loc.gov/storage-services/service/pnp/ds/03600/03674_150px.jpg#h=150&w=105 | https://tile.loc.gov/storage-services/service/pnp/ds/03600/03674_150px.jpg | https://tile.loc.gov/storage-services/service/pnp/ds/03600/03674v.jpg#h=1024&w=719 | https://tile.loc.gov/storage-services/service/pnp/ds/03600/03674r.jpg#h=640&w=450,1,Still image,https://lccn.loc.gov/2013645876/mods,https://www.loc.gov/pictures/item/2013645876/marc/,https://lccn.loc.gov/2013645876/dc,https://lccn.loc.gov/2013645876/marcxml,No known restrictions on publication.,,English,2013645876,1 print on 2 pages : wood engraving.,image/jpg | image/gif | image/jpeg | image/tif,"Title from item. | Illus. in: Harper's weekly, v. 33, no. 1720 (1889 December 7), pp. 976-977.",Image,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",2.0,Illus. in AP2.H32 1889 (Case Y) [P&P],sports | wood engravings | football | periodical illustrations | princeton university | connecticut | new haven | spectators | yale university,2021-08-28T13:31:41.716Z,The Princeton-Yale foot-ball match at the Berkeley Oval / Drawn by T. de Thulstrup.,https://www.loc.gov/item/2013645876/,"Thulstrup, Thure de, 1848-1930",artist,Connecticut | New Haven | Connecticut--New Haven,Princeton University--Sports--Connecticut--New Haven--1880-1900 | Spectators--Connecticut--New Haven--1880-1890 | Yale University--Sports--Connecticut--New Haven--1880-1900 | Football--Connecticut--New Haven--1880-1890,Connecticut | New Haven,"Connecticut, United States | New Haven, South Central Connecticut Planning Region, Connecticut, United States",https://www.openstreetmap.org/relation/165794 | https://www.openstreetmap.org/relation/270191,41.6500201 | 41.3082138,-72.7342163 | -72.9250518,Unknown | South Central Connecticut Planning Region,Unknown | Unknown,Connecticut | Connecticut,United States | United States,Prints shows football game at Yale University.,,
G9930 1964 .R5 MLC,"Riley, Kenneth, 1919-2015.",,1964,True,Books-Maps-More,,http://www.loc.gov/item/93684808/,http://www.loc.gov/item/93684808/manifest.json,https://tile.loc.gov/image-services/iiif/service:gmd:gmd9:g9930:g9930:ct003524/full/pct:12.5/0/default.jpg#h=800&w=1032 | https://tile.loc.gov/image-services/iiif/service:gmd:gmd9:g9930:g9930:ct003524/full/pct:25/0/default.jpg#h=1601&w=2065 | https://tile.loc.gov/storage-services/service/gmd/gmd9/g9930/g9930/ct003524.gif#h=116&w=150 | https://tile.loc.gov/storage-services/service/gmd/gmd9/g9930/g9930/ct003524.gif,1,Cartographic,https://lccn.loc.gov/93684808/mods,,https://lccn.loc.gov/93684808/dc,https://lccn.loc.gov/93684808/marcxml,"<p>The maps in the Map Collections materials were either published prior to  1922, produced by the United States government, or both (see catalogue  records that accompany each map for information regarding date of  publication and source). The Library of Congress is providing access to  these materials for educational and research purposes and is not aware of  any U.S. copyright protection (see Title 17 of the United States Code) or any  other restrictions in the Map Collection materials. </p> <p>Note that the written permission of the copyright owners and/or other rights  holders (such as publicity and/or privacy rights) is required for distribution,  reproduction, or other use of protected items beyond that allowed by fair use  or other statutory exemptions.  Responsibility for making an independent  legal assessment of an item and securing any necessary permissions  ultimately rests with persons desiring to use the item. </p> <p>Credit Line: Library of Congress, Geography and Map Division. </p>",,English,93684808,1 map : col. ; 45 x 60 cm.,image/tiff | image/gif | image/jpeg | image/jp2,"Pictorial map of ""The Island."" | LMP | Available also through the Library of Congress Web site as a raster image.",Image,Map,general maps | catalog | american memory | geography and map division,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",1.0,G9930 1964 .R5 MLC,"illustrations | robinson crusoe | defoe, daniel | settings | literary landmarks | crusoe, robinson (fictitious character) in art | maps | crusoe, robinson (fictitious character)",2021-11-18T16:18:45.714Z,Robinson Crusoe from the book by Daniel Defoe,https://www.loc.gov/item/93684808/,,,"Crusoe, Robinson (Fictitious Character)","Defoe, Daniel,--1661?-1731--Settings--Maps | Crusoe, Robinson (Fictitious character) in art | Defoe, Daniel,--1661?-1731.--Robinson Crusoe--Illustrations | Crusoe, Robinson (Fictitious character) | Literary landmarks--Maps",,,,,,,,,,,,
"DRWG/US - Metzner, no. 46 (A size) [P&P]","Metzner, Adolph, artist.",[1863],1863,True,Civil-War-Drawings,Drawings--American--1860-1870,http://www.loc.gov/item/2017646975/,http://www.loc.gov/item/2017646975/manifest.json,https://tile.loc.gov/storage-services/service/pnp/ppmsca/51200/51225v.jpg#h=665&w=1024 | https://tile.loc.gov/storage-services/service/pnp/ppmsca/51200/51225_150px.jpg | https://tile.loc.gov/storage-services/service/pnp/ppmsca/51200/51225_150px.jpg#h=97&w=150 | https://tile.loc.gov/storage-services/service/pnp/ppmsca/51200/51225r.jpg#h=416&w=640,1,Still image,https://lccn.loc.gov/2017646975/mods,https://www.loc.gov/pictures/item/2017646975/marc/,https://lccn.loc.gov/2017646975/dc,https://lccn.loc.gov/2017646975/marcxml,"No known restrictions on publication. | <p>The Library of Congress generally does not own rights to material in its  collections and, therefore, cannot grant or deny permission to publish  or otherwise distribute the material. For information about assessing  rights, see the <a href=""//www.loc.gov/rr/print/res/rights.html"">Rights and Restrictions Information page</a>.</p>",,English,2017646975,1 drawing : graphite ; sheet 16 x 25 cm.,image/jpg | image/gif | image/jpeg | image/tif,"Title from item (on back of sheet). | Purchase; E. Burns Apfeld; 2014; (DLC/PP-2014:188). | Blood shed in this war: Civil War illustrations by Captain Adolph Metzner, 32nd Indiana / Michael A. Peake. Indianapolis : Indiana Historical Society Press, 2010, p. 96. Title on book: Chickamauga, Georgia, September 1863. | Code on mat (source unverified):  III-66. | Forms part of the Adolph Metzner American Civil War Collection at the Library of Congress. | Title on mat: Lost on the field of Chickamauga, Sept. 20, 1863.",Image,"Photo, print, drawing",prints and photographs division | drawings (documentary) | catalog | civil war,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",1.0,"DRWG/US - Metzner, no. 46 (A size) [P&P]","chickamauga, battle of, ga. | history | chickamauga | united states | american | campaigns & battles | drawings | georgia | civil war",2021-09-04T13:00:11.777Z,Lost on the field of Chickamauga,https://www.loc.gov/item/2017646975/,"Metzner, Adolph",artist,Chickamauga | United States | Georgia | United States--Georgia--Chickamauga | Georgia--Chickamauga,"Chickamauga, Battle of, Ga., 1863 | Campaigns & battles--Georgia--Chickamauga--1860-1870 | United States--History--Civil War, 1861-1865--Campaigns & battles--Georgia--Chickamauga",Chickamauga | Georgia | United States,"Chickamauga, Walker County, Georgia, United States | Georgia | United States",https://www.openstreetmap.org/relation/119688 | https://www.openstreetmap.org/relation/28699 | https://www.openstreetmap.org/relation/148838,34.8711497 | 41.6809707 | 39.7837304,-85.2902472 | 44.0287382 | -100.445882,Walker County | Unknown | Unknown,Unknown | Unknown | Unknown,Georgia | Unknown | Unknown,United States | Georgia | United States,,,
LC-B5- 48762A [P&P],"C.M. Bell (Firm : Washington, D.C.), photographer",[between February 1901 and December 1903],1901,True,C-M-Bell-Studio-Collection,Portrait photographs | Glass negatives,http://www.loc.gov/item/2016700846/,http://www.loc.gov/item/2016700846/manifest.json,https://tile.loc.gov/storage-services/service/pnp/bellcm/13400/13407_150px.jpg | https://tile.loc.gov/storage-services/service/pnp/bellcm/13400/13407v.jpg#h=1024&w=746 | https://tile.loc.gov/storage-services/service/pnp/bellcm/13400/13407r.jpg#h=640&w=466 | https://tile.loc.gov/storage-services/service/pnp/bellcm/13400/13407_150px.jpg#h=150&w=109,1,Still image,https://lccn.loc.gov/2016700846/mods,https://www.loc.gov/pictures/item/2016700846/marc/,https://lccn.loc.gov/2016700846/dc,https://lccn.loc.gov/2016700846/marcxml,No known restrictions on publication.,C.M. Bell Studio Collection (Library of Congress),English,2016700846,1 negative : glass ; 5 x 7 in.,image/jpg | image/gif | image/jpeg | image/tif,"Temp note: Batch 28. | General information about the C.M. Bell Collection is available at http://hdl.loc.gov/loc.pnp/pp.bellcm | Date from photographer's logbook. | Title is unverified name of sitter or person who ordered the photograph, from handwritten label on negative sleeve or negative. | Notation on neg. sleeve: 3 st. 9, 3 st. 69. | Gift; American Genetic Association, 1975.",Image,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",1.0,LC-B5- 48762A [P&P],glass negatives | portrait photographs,2021-06-26T12:59:56.970Z,"Lewis, Mrs. E.B.",https://www.loc.gov/item/2016700846/,"C.M. Bell (Firm : Washington, D.C.)",photographer,,,,,,,,,,,,,,
G4126.S12 1803 .K5 TIL,"Lewis, Meriwether, 1774-1809. | King, N. (Nicholas), 1771-1812. | Clark, William, 1770-1838.",,1803,True,Discovery-And-Exploration,,http://www.loc.gov/item/98687178/,http://www.loc.gov/item/98687178/manifest.json,https://tile.loc.gov/image-services/iiif/service:gmd:gmd412:g4126:g4126s:ct000071/full/pct:25/0/default.jpg#h=1600&w=2376 | https://tile.loc.gov/image-services/iiif/service:gmd:gmd412:g4126:g4126s:ct000071/full/pct:12.5/0/default.jpg#h=800&w=1188 | https://tile.loc.gov/storage-services/service/gmd/gmd412/g4126/g4126s/ct000071.gif#h=150&w=223 | https://tile.loc.gov/storage-services/service/gmd/gmd412/g4126/g4126s/ct000071.gif,1,Cartographic,https://lccn.loc.gov/98687178/mods,,https://lccn.loc.gov/98687178/dc,https://lccn.loc.gov/98687178/marcxml,"<p>The contents of the Library of Congress Louisiana: European Explorations and the Louisiana Purchase are in the public domain and are free to use and reuse.</p> <p>Credit Line: Library of Congress, Geography and Map Division, Louisiana: European Explorations and the Louisiana Purchase.</p> <p>More about <a href=""/legal/"">Copyright and other Restrictions</a></p> For guidance about compiling full citations consult <a href=""https://www.loc.gov/teachers/usingprimarysources/citing.html"">Citing Primary Sources</a>.",,English,98687178,1 map ms. ; 51 x 77 cm.,image/tiff | image/gif | image/jpeg | image/jp2,"LC Annual report, 1925, p. 85. | Available also through the Library of Congress web site as a raster image. | See also: pp. 97-103 of Allen's Passage through the garden (F592.7.A48 G&M RR) | American Treasures Exhibit, 1997. | Author information provided by Prof. Donald Jackson, 1/12/1977. | See also: Wheat. Mapping the transmississippi West, no. 239. | Pen and ink. | See also: Geographical review, vol. 1, p. 220, May 1916.",Image,Map,"geography and map division | parallel histories: spain, the united states, and the american frontier | louisiana: european explorations and the louisiana purchase | american memory | discovery and exploration | catalog","Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",1.0,G4126.S12 1803 .K5 TIL,"northwestern states | lewis and clark expedition | maps | united states | maps, manuscript",2021-11-18T16:19:41.408Z,"[Lewis and Clark map, with annotations in brown ink by Meriwether Lewis, tracing showing the Mississippi, the Missouri for a short distance above Kansas, Lakes Michigan, Superior, and Winnipeg, and the country onwards to the Pacific].",https://www.loc.gov/item/98687178/,,,Northwestern States | United States,"Lewis and Clark Expedition--(1804-1806)--Maps | Northwestern States--Maps, Manuscript | United States--Northwestern States",United States,United States,https://www.openstreetmap.org/relation/148838,39.7837304,-100.445882,Unknown,Unknown,Unknown,United States,,,
